account DFP id,account name,type,adserver id,adserver username,company id,account DFP name,status
29363022,WLIN | Southwest Medical Associates (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Southwest Medical Associates,Active
29444622,WLIN | Wendy's (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Wendy's,Active
29549382,WLIN | WPRI (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | WPRI,Active
29549382,WLIN | WPRI (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | WPRI,Active
29552022,WLIN | KRQE (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | KRQE,Active
29552022,WLIN | KRQE (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | KRQE,Active
29579502,WLIN | Affordable Care (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Affordable Care,Active
29579502,WLIN | Affordable Care (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Affordable Care,Active
29579622,WLIN | Worker's (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Worker's,Active
29627742,WLIN | Malachi Boyulos (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Malachi Boyulos,Active
29681982,WLIN | Consolidated Credit (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Consolidated Credit,Active
30177102,WLIN | PPT Invisible Fence (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | PPT Invisible Fence,Active
30728142,WLIN | University of Alabama (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | University of Alabama,Active
31250982,WLIN | Garcia Subaru (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Garcia Subaru,Active
31572822,WLIN | Hiland Dairy (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Hiland Dairy,Active
31572942,WLIN | BornFootwear (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | BornFootwear,Active
32483382,WLIN | Hotels.com (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Hotels.com,Active
32590902,WLIN | Grady Hospital (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Grady Hospital,Active
32829702,WLIN | TXDOT (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | TXDOT,Active
33206142,WLIN | KXAN (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | KXAN,Active
33503142,WLIN | Adidas Springblade (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Adidas Springblade,Active
33503262,WLIN | Carlos Albizu University (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Carlos Albizu University,Active
33503382,WLIN | Honey Maid (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Honey Maid,Active
34000182,WLIN | Village at Fairview (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Village at Fairview,Active
34000302,WLIN | Shrimp Basket (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Shrimp Basket,Active
35545782,WLIN | Owens Community College (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Owens Community College,Active
35545782,WLIN | Owens Community College (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Owens Community College,Active
35703102,WLIN | Walt Massey Automotive (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Walt Massey Automotive,Active
35703102,WLIN | Walt Massey Automotive (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Walt Massey Automotive,Active
36098502,WLIN | YMCA CampCullen (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | YMCA CampCullen,Active
36110862,WLIN | Rainforest Caf (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Rainforest Caf,Active
36470382,WLIN | Brown & Chiari (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Brown & Chiari,Active
36470502,WLIN | Smoke Free (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Smoke Free,Active
36638142,WLIN | BAE Systems (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | BAE Systems,Active
36811782,WLIN | OC Springfest (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | OC Springfest,Active
