Name,DFP Property Name,Ad unit ID 1,NetworkCode,Network Username,Status,Company Id,Ad unit ID 2 <SEP> Ad unit 2Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHON-TV,nt.khon,54503382,5678,naresh.pokhriyal@mediaagility.com,Active,1,54503622<SEP>mobileapp,54503862<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOIN-TV,nt.koin,54507702,5678,naresh.pokhriyal@mediaagility.com,Active,1,54507822<SEP>mobileapp,54507942<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOIN 1-TV,nt.koin1,54516582,5678,naresh.pokhriyal@mediaagility.com,Active,1,54516702<SEP>mobileapp,54516822<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSNT-TV,nt.ksnt,54508422,5678,naresh.pokhriyal@mediaagility.com,Active,1,54508542<SEP>mobileapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCL-TV,nt.wjcl,54503502,5678,naresh.pokhriyal@mediaagility.com,Active,1,54503742<SEP>mobileapp,54503982<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN Passbacks (lin.pb),LIN Passbacks (lin.pb),32578902,5678,naresh.pokhriyal@mediaagility.com,Active,1,32578902<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lin.mobile,lin.mobile,58775502,5678,naresh.pokhriyal@mediaagility.com,Active,12,58775622<SEP>lin-digital,58811142<SEP>lindigital_carterbloodcare_dallasfortworth,58811262<SEP>lindigital_carterbloodcare_tylerlongview,58811382<SEP>lindigital_carterbloodcare_wacotemplebryan,58812822<SEP>lindigital_mcdonalds_columbiarod,58812942<SEP>lindigital_mcdonalds_gainesvillerod,58813062<SEP>lindigital_mcdonalds_jacksonvillerod,58813182<SEP>lindigital_mcdonalds_orlandorod,58813422<SEP>lindigital_idea_public_schools_austin,58813542<SEP>lindigital_idea_public_schools_sanantonio,58813662<SEP>lindigital_idea_public_schools_mcallen_brownsville,58826742<SEP>lin-digital/mcdonalds/gainesville-rod,58827222<SEP>lin-digital/carter-blood-care/waco-temple-bryan,58829502<SEP>lin-digital/carter-blood-care/dallas-fortworth,58840302<SEP>lin-digital/mcdonalds/orlando-rod,58845702<SEP>lin-digital/mcdonalds/columbia-rod,58845942<SEP>lin-digital/mcdonalds/jacksonville-rod,58847142<SEP>lin-digital/mcdonalds/orlando-bfast,58847262<SEP>lin-digital/mcdonalds/jacksonville-bfast,58847382<SEP>lin-digital/mcdonalds/gainesville-bfast,58847502<SEP>lindigital_mcdonalds_columbiabfast,58847622<SEP>lindigital_mcdonalds_savannahrod,58847742<SEP>lindigital_mcdonalds_savannahbfast,58896342<SEP>lindigital_newmexicoforddealers_q1jan,58896702<SEP>lindigital_amdtechinfluencers_national,58896822<SEP>lindigital_amdtechinfluencers_canada,58931142<SEP>lindigital_beavertoyotascion_jan2014,58931262<SEP>lindigital_beavertoyotascion_feb2014,59008662<SEP>lindigital_nationwide_raleigh,59120742<SEP>lindigital_mdanderson_tablet,59120862<SEP>lindigital_mdanderson_houston_overall,59120982<SEP>lindigital_mdanderson_sugarland,59121102<SEP>lindigital_mdanderson_katy_memorial,59121222<SEP>lindigital_mdanderson_bayarea,59121342<SEP>lindigital_mdanderson_woodlands,59488542<SEP>lindigital_mcdonalds_columbiabeverage,59498022<SEP>lindigital_aaa_ins,59498142<SEP>lindigital_southwest_medical_tablet,59498262<SEP>lindigital_southwest_medical_lasvegas,59498382<SEP>lindigital_wendys_jackson,59498502<SEP>lindigital_wendys_greenwood,59498622<SEP>lindigital_wendys_columbus,59498742<SEP>lindigital_wendys_hattiesburg,59498862<SEP>lindigital_wendys_meridian,59678142<SEP>lindigital_wpri_news_sweep,59808462<SEP>lindigital_krqe_news_feed,59841942<SEP>moasis_test_2014,59853822<SEP>lindigital_Affordable_care,59854062<SEP>lindigital_Workers,59854182<SEP>lindigital_Wendys_Alabama,59854422<SEP>lindigital_Wendys_Alabama_Baton_Rouge,59854542<SEP>lindigital_Wendys_Alabama_Biloxi-Gulfport,59854662<SEP>lindigital_Wendys_Alabama_Lafayette,59854902<SEP>lindigital_Wendys_Alabama_Alexandria,59855022<SEP>lindigital_Wendys_Alabama_Lake_Charles,59855142<SEP>lindigital_Wendys_Alabama_Monroe-Eldorado,59855262<SEP>lindigital_Wendys_Alabama_Knoxville,59855502<SEP>lindigital_Wendys_ArK_Jackson,59855622<SEP>lindigital_Wendys_ArK_Memphis,59855742<SEP>lindigital_Wendys_ArK_Jonesboro,60015342<SEP>lindigital_malachiboyulos_political2014,60015462<SEP>lindigital_andsub_2014,60030582<SEP>lindigital_consolidated_credit,60293742<SEP>lindigital_mcdonalds_savannahbev,60295662<SEP>lindigital_ppt_invisible_fence,60563982<SEP>lindigital_university_of_alabama,60564462<SEP>lindigital_wendys_alabama_mobile_ocean_springs_biloxi_gulfport,60564582<SEP>lindigital_wendys_alabama_mobile_ocean_springs_alexandria_la,60564702<SEP>lindigital_wendys_alabama_mobile_ocean_springs_lake_charles_la,61130382<SEP>lin-digital/mcdonalds/orlando-event,61136742<SEP>lindigital_ppt_invisible_fence_austin,61136862<SEP>lindigital_ppt_invisible_fence_houston,61405062<SEP>oneads_promo_pocketmath,61450662<SEP>lindigital_garcia_subaru_new_mexico,61666302<SEP>lindigital_hiland_dairy_nebraska,61666422<SEP>lindigital_hiland_dairy_tulsa,61666542<SEP>lindigital_hiland_dairy_ft_smith_fayetteville,61666782<SEP>lindigital_hiland_dairy_oklahoma,61666902<SEP>lindigital_hiland_dairy_little_rock_pine,61667022<SEP>lindigital_hiland_dairy_wichita_hutchinson,61667262<SEP>lindigital_hiland_dairy_des_moines_ames,61667382<SEP>lindigital_hiland_dairy_joplin_mo_pittsburg,61667502<SEP>lindigital_hiland_dairy_springfield,61667622<SEP>lindigital_hiland_dairy_kansas,61667742<SEP>lindigital_hiland_dairy_missouri_rolla,61668102<SEP>lindigital_bornfootwear_female,61668222<SEP>lindigital_bornfootwear_male,61848702<SEP>lindigital_mcdonalds_columbiaevent,61976742<SEP>lindigital_mcdonalds_orlando_nascarevent,62345742<SEP>lindigital_mcdonalds_jacksonvilleevent,62345982<SEP>lindigital_mcdonalds_gainesvilleevent,62346102<SEP>lindigital_mdanderson_thoracic_louisiana,62346222<SEP>lindigital_mdanderson_thoracic_texas,62346342<SEP>lindigital_mdanderson_thoracic_oklahoma,62776542<SEP>lin-digital_hotels.com_ipad,62776662<SEP>lin-digital_hotels.com_androidT,62776782<SEP>lin-digital_hotels.com_iphone,62776902<SEP>lin-digital_hotels.com_androidM,62804262<SEP>lindigital_hotels.com_android_mobile,62804382<SEP>lindigital_hotels.com_iphone,62990862<SEP>lindigital_omahachildrenshospital_sportsmedicine_parents,62991102<SEP>lindigital_omahachildrenshospital_sportsmedicine_trainer,62991222<SEP>lindigital_omahachildrenshospital_parentingmobile,62991942<SEP>lindigital_gradyhospital_mobile,63165582<SEP>lindigital_txdot_youthdrinking_driving,63731862<SEP>lindigital_kxan_sxswapp,63902622<SEP>lindigital_kxan_sxswapp_android,63903942<SEP>lindigitial_adidas_springblade,63904062<SEP>lindigitial_carlos_albizu_university_spring,63904182<SEP>lindigitial_honeymaid,65690142<SEP>lindigitial_owenscommunitycollege_summersemester_adult,65690262<SEP>lindigitial_owenscommunitycollege_summersemester
m.wpix,m.wpix,44760964,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.ktla,m.ktla,44736364,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wgntv,m.wgntv,44754004,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.kdaf,m.kdaf,44724244,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wdcw,m.wdcw,59115364,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.kiah,m.kiah,44729524,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.kcpq,m.kcpq,44722444,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.ktxl,m.ktxl,44741884,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wxin,m.wxin,44771764,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.kswb,m.kswb,44733124,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wtic,m.wtic,59345644,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wpmt,m.wpmt,44766724,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wxmi,m.wxmi,44778244,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wgno,m.wgno,44750644,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m.wphl,m.wphl,59115244,45604844,harshal.limaye@linmedia.com,Active,2,45604844<SEP>N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
